rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
3586,WASP-65 b,WASP-65,0.000934585529646972,0.09345855296469721,0,0,2013
3587,Kepler-548 b,Kepler-548,0.0009342402525413721,0.0934240252541372,0,0,2016
3588,CoRoT-20 b,CoRoT-20,0.0009341918870852849,0.09341918870852849,0,0,2011
3589,WASP-159 b,WASP-159,0.0009341111614860122,0.09341111614860122,0,0,2018
3590,TOI-5398 b,TOI-5398,0.0009335924402203864,0.09335924402203864,0,0,2022
3591,Kepler-1640 b,Kepler-1640,0.000933412814293521,0.0933412814293521,0,0,2016
3592,TOI-2719 b,TOI-2719,0.0009333597534144508,0.09333597534144508,0,0,2025
3593,WASP-164 b,WASP-164,0.0009330747329288274,0.09330747329288275,0,0,2018
3594,HATS-34 b,HATS-34,0.0009330630732554754,0.09330630732554754,0,0,2016
3595,TOI-5126 b,TOI-5126,0.0009328982473783985,0.09328982473783985,0,0,2023
3596,TOI-3912 b,TOI-3912,0.0009327379941628251,0.09327379941628251,0,0,2023
3597,TOI-3331 A b,TOI-3331 A,0.0009323534890262698,0.09323534890262698,0,0,2022
3598,NGTS-20 b,NGTS-20,0.0009322250080560822,0.09322250080560822,0,0,2022
3599,HAT-P-61 b,HAT-P-61,0.0009320992571005568,0.09320992571005568,0,0,2021
3600,Kepler-645 b,Kepler-645,0.0009319740450064717,0.09319740450064716,0,0,2016
3601,HATS-57 b,HATS-57,0.0009319428208494904,0.09319428208494904,0,0,2019
3602,TOI-1420 b,TOI-1420,0.0009317047766944345,0.09317047766944345,0,0,2023
3603,Kepler-491 b,Kepler-491,0.0009315480201572432,0.09315480201572432,0,0,2016
3604,TOI-1408 b,TOI-1408,0.0009310253557703746,0.09310253557703746,0,0,2023
3605,HD 89345 b,HD 89345,0.0009306696614747045,0.09306696614747045,0,0,2018
3606,TOI-5261 b,TOI-5261,0.0009305482363995959,0.0930548236399596,0,0,2025
3607,WASP-117 b,WASP-117,0.0009296106006264251,0.09296106006264251,0,0,2014
3608,WASP-110 b,WASP-110,0.0009291385604801303,0.09291385604801303,0,0,2021
3609,HATS-63 b,HATS-63,0.0009287323959253498,0.09287323959253499,0,0,2018
3610,HAT-P-29 b,HAT-P-29,0.0009285013912025996,0.09285013912025995,0,0,2011
3611,HAT-P-32 b,HAT-P-32,0.0009279972394598676,0.09279972394598676,0,0,2011
3612,TOI-2641 b,TOI-2641,0.0009272895730718685,0.09272895730718685,0,0,2023
3613,K2-31 b,K2-31,0.0009269378317336896,0.09269378317336896,0,0,2016
